ux_quality;vis_type;value_tf;value_tf;value_tf;value_tf;CI95_low;CI95_high
;;mean;var;std;count;;
Hedonic Quality;Bounding Box;-0.16666666666666666;1.5719298245614033;1.2537662559510059;96;-0.42066919470313413;0.08733586136980079
Hedonic Quality;Heatmap;1.2604166666666667;2.6367324561403502;1.6238018524870423;96;0.9314480302846351;1.5893853030486984
Hedonic Quality;Segmentation Contour;0.8541666666666666;1.4311403508771925;1.1963027839461013;96;0.6118057561085124;1.0965275772248209
Hedonic Quality;Segmentation Mask;0.75;1.5368421052631576;1.2396943596157715;96;0.49884832013914043;1.0011516798608595
Pragmatic Quality;Bounding Box;0.96875;2.304276315789473;1.5179842936570433;96;0.6612191135381716;1.2762808864618282
Pragmatic Quality;Heatmap;0.6354166666666666;4.528837719298246;2.1281066043077463;96;0.20428011720254308;1.0665532161307902
Pragmatic Quality;Segmentation Contour;1.8854166666666667;1.9341008771929822;1.390719553753733;96;1.6036685491315907;2.1671647842017427
Pragmatic Quality;Segmentation Mask;0.7916666666666666;3.1350877192982454;1.7706178919513509;96;0.4329543320448464;1.150379001288487
Problem-Specific Quality;Bounding Box;0.4375;1.890789473684211;1.3750598073117442;96;0.15892441575475824;0.7160755842452418
Problem-Specific Quality;Heatmap;0.13541666666666666;2.7709429824561402;1.6646149652265356;96;-0.20182036405415302;0.4726536973874863
Problem-Specific Quality;Segmentation Contour;0.875;2.0684210526315785;1.4382006301735437;96;0.5836326146091493;1.1663673853908507
Problem-Specific Quality;Segmentation Mask;0.5416666666666666;2.1877192982456135;1.4790940802550774;96;0.24201461126532514;0.8413187220680081
Overall;Bounding Box;0.4131944444444444;2.124842721641501;1.4576840266811943;288;0.24413316958558476;0.5822557193033041
Overall;Heatmap;0.6770833333333334;3.5016332752613253;1.8712651536490827;288;0.4600551799857604;0.8941114866809063
Overall;Segmentation Contour;1.2048611111111112;2.031056426635695;1.4251513697273337;288;1.039572953305395;1.3701492689168273
Overall;Segmentation Mask;0.6944444444444444;2.282617111885404;1.5108332508537812;288;0.5192189560578873;0.8696699328310016
